,0
0,13093V804836
1,78845V804838
2,21700V2441491
3,23045V2441493
4,87699V804741
5,84325V384020
6,43916V384471
7,38224V384485
8,94767V804742
9,22439V804830
10,25132V805616
11,74461V805599
12,84212V805616
13,34232V2482021
14,42726V805610
15,45610V804781
16,12706V804742
17,31998V805616
18,82885V805617
19,77457V384021
20,65182V384013
21,55153V805604
22,34150V804808
23,86349V805605
24,19367V1911018
25,10990V804785
26,55982V384008
27,88422V384010
28,88980V805612
29,41273V805613
30,01316V804837
31,09081V804807
32,67055V804829
33,79902V804834
34,43672V804832
35,23412V804831
36,20435V804835
37,19690V804744
38,88287V805625
39,09194V804833
40,02940V805615
41,92859V805620
42,58509V804762
43,03829V804778
44,29810V804818
45,47166V804764
46,53289V804779
47,56100V804816
48,25641V1699273
49,53155V1665289
50,68733V2078106
51,18257V2078120
52,56025V2078107
53,66206V805614
54,58420V805630
55,86729V384507
56,61137V2423227
57,86659V384478
58,25046V805611
59,73809V805608
60,56438V804776
61,90523V804810
62,49530V804761
63,56466V804740
64,99254V1696548
65,03016V805614
66,56658V804775
67,08615V2398666
68,09047V805597
69,51706V805611
70,34684V384477
71,11786V2441492
72,83313V2441494
73,20810V384475
74,04939V804763
75,43259V2078119
76,20895V805602
77,97853V384482
78,20407V805602
79,78017V804784
80,05960V384024
81,30807V804741
82,18129V804739
83,16793V804739
84,50000V1715090
85,66711V384480
86,15322V384480
87,54929V805598
88,87495V2442199
89,14204V805611
90,14630V805616
91,09390V384481
92,09537V384484
93,32158V2482021
94,70948V2482020
