id,name,county,municipality,latitude,longitude
36906V3144559,SVEGATJØRN RAMPE MOT ULVENVEGEN,Vestland,Bjørnafjorden,60.201041,5.443578
78303V3144521,SVEGATJØRN HALHJEM-BERGEN,Vestland,Bjørnafjorden,60.201244,5.443814
85010V3144570,RÅDALSKRYSSET SØR RAMPE BERGEN-FANAVEGEN,Vestland,Bergen,60.288265,5.32636
06847V3144560,SVEGATJØRN RAMPE MOT HALHJEM,Vestland,Bjørnafjorden,60.200608,5.442661
08996V804774,SVEGATJØRN MOT ULVEN,Vestland,Bjørnafjorden,60.204461,5.444213
21821V3144525,SVEGATJØRN BERGEN-HALHJEM,Vestland,Bjørnafjorden,60.201167,5.44369
10168V3144571,RÅDALSKRYSSET SØR RAMPE FANAVEGEN-HALHJEM,Vestland,Bergen,60.288208,5.326378
27850V3144568,RÅDALSKRYSSET NORD RAMPE FANAVEGEN-BERGEN,Vestland,Bergen,60.289448,5.326823
71365V3144566,RÅDALSKRYSSET NORD RAMPE HALHJEM-FANAVEGEN,Vestland,Bergen,60.289456,5.327097
30619V3144573,RÅDALSKRYSSET RAMPE MOT LAGUNEN,Vestland,Bergen,60.290098,5.326458
64621V3144557,SVEGATJØRN ØST FOR E39,Vestland,Bjørnafjorden,60.203305,5.443066
83745V3144564,ENDELAUSMARKA RAMPE HALHJEM-DRANGE,Vestland,Bjørnafjorden,60.216072,5.425198
18860V3144562,ENDELAUSMARKA RAMPE MOT HALHJEM,Vestland,Bjørnafjorden,60.215978,5.423355
41117V3144515,ENDELAUSMARKA HALHJEM-BERGEN,Vestland,Bjørnafjorden,60.217303,5.424705
58818V3144561,ENDELAUSMARKA BERGEN-HALHJEM,Vestland,Bjørnafjorden,60.217244,5.424269
50875V3144533,ENDELAUSMARKA RAMPE LYSEKLOSTER-BERGEN,Vestland,Bjørnafjorden,60.217344,5.424983
34377V3144563,ENDELAUSMARKA RAMPE BERGEN-LYSEKLOSTER,Vestland,Bjørnafjorden,60.217272,5.424112
87495V2442199,RAMPE FRA STUDALEN,Vestland,Stord,59.774404,5.48353
14204V805611,E39 VABAKKEN,Vestland,Stord,59.774084,5.483102
31998V805616,Fløyfjellstunnelen nordgående,Vestland,Bergen,60.388979,5.339909
43259V2078119,Rampe Åsamyrene - Åsanevegen,Vestland,Bergen,60.473776,5.332157
94767V804742,CHRISTIESGT,Vestland,Bergen,60.391221,5.325424
20895V805602,DALSEID VEST,Vestland,Vaksdal,60.612113,5.832682
16793V804739,Stanghelle øst,Vestland,Vaksdal,60.550676,5.738243
34232V2482021,EIKÅS,Vestland,Bergen,60.477392,5.355637
18257V2078120,Rampe Vågsbotn - Åsamyrene,Vestland,Bergen,60.475028,5.333224
82885V805617,Fløyfjellstunnelen sørgående,Vestland,Bergen,60.389045,5.339588
18129V804739,Stangehelle vest,Vestland,Vaksdal,60.549915,5.736571
97853V384482,VASSENDEN,Vestland,Sunnfjord,61.511358,6.156277
86729V384507,SKREDE,Vestland,Stad,61.915708,6.302022
11786V2441492,ARM BØMLO-SVEIO,Vestland,Stord,59.741064,5.40442
70948V2482020,EIKÅSTUNNELEN MOT VÅGSBOTN,Vestland,Bergen,60.477792,5.355342
21700V2441491,ARM BØMLO-STORD,Vestland,Stord,59.741411,5.40486
32158V2482021,EIKÅSTUNNELEN MOT EIKÅS,Vestland,Bergen,60.477773,5.35605
20407V805602,DALSEID AUST,Vestland,Vaksdal,60.612349,5.833422
23045V2441493,ARM STORD-BØMLO,Vestland,Stord,59.741064,5.40419
83313V2441494,ARM SVEIO-BØMLO,Vestland,Stord,59.741317,5.40509
42726V805610,EV39 FØYNO,Vestland,Stord,59.741217,5.404728
02940V805615,Nesttuntunnelen,Vestland,Bergen,60.315184,5.355439
